DATE,FCSUM
1/31/2012,116
2/29/2012,826
3/31/2012,499
4/30/2012,569
5/31/2012,1904
6/30/2012,5247
7/31/2012,1470
8/31/2012,4088
9/30/2012,2557
10/31/2012,1025
11/30/2012,335
12/31/2012,319
1/31/2013,831
2/28/2013,577
3/31/2013,1889
4/30/2013,900
5/31/2013,863
6/30/2013,2874
7/31/2013,1777
8/31/2013,3605
9/30/2013,1771
10/31/2013,872
11/30/2013,370
12/31/2013,162
1/31/2014,782
2/28/2014,5608
3/31/2014,12526
4/30/2014,2980
5/31/2014,1970
6/30/2014,2532
7/31/2014,4765
8/31/2014,1882
9/30/2014,2073
10/31/2014,963
11/30/2014,372
12/31/2014,425
1/31/2015,513
2/28/2015,1912
3/31/2015,3954
4/30/2015,3227
5/31/2015,2075
6/30/2015,2127
7/31/2015,3685
8/31/2015,1888
9/30/2015,1870
10/31/2015,1002
11/30/2015,272
12/31/2015,492
1/31/2016,1066
2/29/2016,1921
3/31/2016,5541
4/30/2016,7331
5/31/2016,2195
6/30/2016,690
7/31/2016,1364
8/31/2016,2497
9/30/2016,869
10/31/2016,606
11/30/2016,175
12/31/2016,244
1/31/2017,321
2/28/2017,305
3/31/2017,493
4/30/2017,501
5/31/2017,371
6/30/2017,587
7/31/2017,1444
8/31/2017,950
9/30/2017,791
10/31/2017,532
11/30/2017,196
12/31/2017,220
1/31/2018,86
2/28/2018,805
3/31/2018,1095
4/30/2018,1077
5/31/2018,745
6/30/2018,749
7/31/2018,2306
8/31/2018,3737
9/30/2018,966
10/31/2018,572
11/30/2018,202
12/31/2018,214
1/31/2019,454
2/28/2019,2022
3/31/2019,5140
4/30/2019,2249
5/31/2019,1651
6/30/2019,500
7/31/2019,1293
8/31/2019,2572
9/30/2019,2231
10/31/2019,516
11/30/2019,299
12/31/2019,332
1/31/2020,796
2/29/2020,1375
3/31/2020,1992
4/30/2020,1405
5/31/2020,431
6/30/2020,236
7/31/2020,342
8/31/2020,1224
9/30/2020,433
10/31/2020,295
11/30/2020,121
12/31/2020,146
1/31/2021,107
2/28/2021,1394
3/31/2021,1242
4/30/2021,611
5/31/2021,351
6/30/2021,555
7/31/2021,1335
8/31/2021,629
9/30/2021,547
10/31/2021,632
11/30/2021,170
12/31/2021,200
1/31/2022,566
2/28/2022,250
3/31/2022,361
4/30/2022,365
5/31/2022,422
6/30/2022,486
7/31/2022,832
8/31/2022,817
9/30/2022,478
10/31/2022,135
11/30/2022,151
12/31/2022,123
1/31/2023,189
2/28/2023,228
3/31/2023,819
4/30/2023,972
5/31/2023,802
6/30/2023,806
7/31/2023,855
8/31/2023,985
9/30/2023,578
10/31/2023,689
11/30/2023,272
12/31/2023,264
1/31/2024,246
2/29/2024,1067
3/31/2024,2332
4/30/2024,1864
5/31/2024,1350
6/30/2024,286
